concert_name,artists,date,time,city,state,price_min,price_max
Drums Along the Waterfront,"['Drums Along the Waterfront', 'Buffalo Bills']",2019-08-04,18:30:00,Orchard Park,NY,29.0,29.0
Lady Antebellum,['Lady Antebellum'],2019-08-03,20:00:00,Verona,NY,49.0,49.0
Chris Stapleton's All American Road Show,"['Chris Stapleton', 'Margo Price', 'The Marcus King Band']",2019-07-27,19:00:00,Canandaigua,NY,34.75,34.75
Queen + Adam Lambert: The Rhapsody Tour,"['Queen + Adam Lambert', 'Queen', 'Adam Lambert']",2019-08-06,20:00:00,New York,NY,60.0,60.0
John Mayer,['John Mayer'],2019-07-26,19:30:00,New York,NY,59.0,59.0
Interswitch One Africa Music Fest,"['One Africa', 'Wyclef Jean', 'Burna Boy', '2 Face', 'Tekno', 'Tiwa Savage', 'Casanova', 'Teni', 'Harmonize', 'Eddy Kenzo', 'Kranium', 'Diamond Platnumz', 'Jah Prayzah']",2019-08-10,18:00:00,Brooklyn,NY,N/A,N/A
John Mayer,['John Mayer'],2019-07-25,19:30:00,New York,NY,59.0,59.0
The 8th Singers In Action Concert Starring Beres Hammond,"['Beres Hammond', 'Romain Virgo', 'Maxi Priest']",2019-08-04,17:00:00,Brooklyn,NY,79.0,79.0
Molotov,['Molotov'],2019-08-14,20:00:00,New York,NY,45.0,45.0
OZY Fest,"['OZY Fest', 'John Legend', 'Miguel', 'A R I Z O N A', 'Jazzy Amra', 'Trevor Noah', 'Dulce Sloan', 'Ronny Chieng', 'Stacey Abrams', 'John Kasich', 'Mark Cuban', 'Cindy Eckert', 'Barbara Corcoran', 'Marc Lasry', 'Malcolm Gladwell', 'Spike Lee', 'Deepak Chopra, MD', 'Dr. Mehmet Oz', 'Rachael Ray', 'Marcus Samuelsson', 'Padma Lakshmi']",2019-07-20,N/A,New York,NY,N/A,N/A
Queen + Adam Lambert: The Rhapsody Tour,"['Queen + Adam Lambert', 'Queen', 'Adam Lambert']",2019-08-07,20:00:00,New York,NY,60.0,60.0
Barbra Streisand,['Barbra Streisand'],2019-08-03,20:00:00,New York,NY,131.0,131.0
Michael Bublé,['Michael Bublé'],2019-07-24,20:00:00,New York,NY,91.0,91.0
JoJo Siwa,['JoJo Siwa'],2019-07-21,19:00:00,Forest Hills,NY,N/A,N/A
Hootie & The Blowfish: Group Therapy Tour,"['Hootie and the Blowfish', 'Barenaked Ladies']",2019-08-10,19:30:00,New York,NY,49.5,49.5
Nickelodeon's JoJo Siwa D.R.E.A.M. The Tour,"['JoJo Siwa', 'The Belles']",2019-07-26,19:00:00,Uniondale,NY,38.0,38.0
Hootie & The Blowfish: Group Therapy Tour,"['Hootie and the Blowfish', 'Barenaked Ladies']",2019-08-04,19:30:00,Saratoga Springs,NY,29.5,29.5
Hootie & The Blowfish: Group Therapy Tour,"['Hootie and the Blowfish', 'Barenaked Ladies']",2019-08-09,19:30:00,Canandaigua,NY,45.0,45.0
Train/Goo Goo Dolls,"['Train', 'Goo Goo Dolls', 'Allen Stone']",2019-07-26,19:00:00,Saratoga Springs,NY,29.5,29.5
"Train, Goo Goo Dolls","['Train', 'Goo Goo Dolls', 'Allen Stone']",2019-08-03,19:00:00,Wantagh,NY,29.5,29.5
Wiz Khalifa: The Decent Exposure Tour,"['Wiz Khalifa', 'French Montana', 'Moneybagg Yo', 'Chevy Woods', 'DJ Drama']",2019-07-21,18:00:00,Darien Center,NY,29.0,29.0
Khalid Free Spirit World Tour,"['Khalid', 'Clairo']",2019-07-31,19:30:00,New York,NY,69.95,69.95
2019 MONSTA X World Tour 'We Are Here',['MONSTA X'],2019-08-03,20:00:00,New York,NY,N/A,N/A
Jimmy Buffett,['Jimmy Buffett'],2019-08-08,20:00:00,Wantagh,NY,56.0,56.0
Heart: Love Alive Tour,"['Heart', 'Sheryl Crow', 'Lucie Silvas']",2019-07-21,19:00:00,Saratoga Springs,NY,20.0,20.0
